Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Prediction of Early TBI Mortality Using a Machine Learning Approach in a LMIC Population,Amorim R.L.; Oliveira L.M.; Malbouisson L.M.; Nagumo M.M.; Simoes M.; Miranda L.; Bor-Seng-Shu E.; Beer-Furlan A.; De Andrade A.F.; Rubiano A.M.; Teixeira M.J.; Kolias A.G.; Paiva W.S. ,"Background: In a time when the incidence of severe traumatic brain injury (TBI) is increasing in low- to middle-income countries (LMICs), it is important to understand the behavior of predictive variables in an LMIC's population. There are few previous attempts to generate prediction models for TBI outcomes from local data in LMICs. Our study aim is to design and compare a series of predictive models for mortality on a new cohort in TBI patients in Brazil using Machine Learning. Method(s): A prospective registry was set in Sao Paulo, Brazil, enrolling all patients with a diagnosis of TBI that require admission to the intensive care unit. We evaluated the following predictors: gender, age, pupil reactivity at admission, Glasgow Coma Scale (GCS), presence of hypoxia and hypotension, computed tomography findings, trauma severity score, and laboratory results. Result(s): Overall mortality at 14 days was 22.8%. Models had a high prediction performance, with the best prediction for overall mortality achieved through Naive Bayes (area under the curve = 0.906). The most significant predictors were the GCS at admission and prehospital GCS, age, and pupil reaction. When predicting the length of stay at the intensive care unit, the Conditional Inference Tree model had the best performance (root mean square error = 1.011), with the most important variable across all models being the GCS at scene. Conclusion(s): Models for early mortality and hospital length of stay using Machine Learning can achieve high performance when based on registry data even in LMICs. These models have the potential to inform treatment decisions and counsel family members. Level of Evidence: This observational study provides a level IV evidence on prognosis after TBI.© Copyright © 2020 Amorim, Oliveira, Malbouisson, Nagumo, Simoes, Miranda, Bor-Seng-Shu, Beer-Furlan, De Andrade, Rubiano, Teixeira, Kolias and Paiva.",2020,/,Frontiers in Neurology,10,"(Amorim, Oliveira) School of Medicine, Federal University of Amazonas (UFAM), Manaus, Brazil(Amorim, Bor-Seng-Shu, De Andrade, Teixeira, Paiva) Division of Neurosurgery, Hospital das Clinicas, University of Sao Paulo, Sao Paulo, Brazil(Malbouisson, Mirand",1366,,http://dx.doi.org/10.3389/fneur.2019.01366,630821392,#20302,Amorim 2020,,yes
Sepsis in Traumatic Brain Injury: Epidemiology and Outcomes,Anderson D.; Kutsogiannis D.J.; Sligl W.I. ,"Background: Traumatic brain injury (TBI) is a leading cause of death and disability. Risk factors for in-hospital mortality include older age, co-morbidity, and TBI severity. Few studies have investigated the role of sepsis in individuals with TBI. Method(s): We studied adult patients with TBI admitted to intensive care over a 5-year period. Patient characteristics were identified by linking clinical and administrative databases. Charts of individuals with TBI and sepsis were manually reviewed. Predictors of ICU and hospital mortality were identified using logistic regression modeling. Result(s): Four hundred eighty-six individuals with TBI were admitted to intensive care. Sixteen (3.3%) developed sepsis. Pneumonia was the most common source (94%). Staphylococcus aureus was the most common pathogen (75%). ICU lengths of stay (LOS) (12.2 days [interquartile range (IQR) 4.4-23.5] versus 3.7 days [IQR 1.7-8.2]; p < 0.001) and hospital LOS (28.0 days [IQR 11.8-41.4] versus 15.3 days [IQR 5.0-30.9]; p = 0.017) were longer in patients with TBI and sepsis. Sepsis was not associated with ICU (adjusted odds ratio [aOR] 0.51; 95%CI 0.12-2.27; p = 0.38) or hospital (aOR 0.78; 95% CI 0.21-2.96; p = 0.78) mortality, though age (aOR 1.02; 95% CI 1.00-1.04; p = 0.014 for hospital mortality), severe TBI (aOR 3.71; 95% CI 1.52-9.08; p = 0.004 for ICU mortality and 4.10; 95% CI 1.95-8.65; p < 0.001 for hospital mortality), and APACHE II score (aOR 1.19; 95% CI 1.11-1.28; p < 0.001 for ICU mortality and 1.22; 95% CI 1.14-1.31; p < 0.001 for hospital mortality) were. Conclusion(s): Sepsis in patients with TBI was not associated with mortality; however, sepsis was associated with increased health care utilization (ICU and hospital LOS).Copyright © 2019 The Canadian Journal of Neurological Sciences Inc.",2020,/,Canadian Journal of Neurological Sciences,47,2,197-201,,http://dx.doi.org/10.1017/cjn.2019.320,631175775,#20290,Anderson 2020,,yes
Blood-based biomarkers for prediction of intracranial hemorrhage and outcome in patients with moderate or severe traumatic brain injury.,"Anderson, Taylor N; Hwang, Jun; Munar, Myrna; Papa, Linda; Hinson, Holly E; Vaughan, Allison; Rowell, Susan E","BACKGROUND: Early identification of traumatic intracranial hemorrhage (ICH) has implications for triage and intervention. Blood-based biomarkers were recently approved by the Food and Drug Administration (FDA) for prediction of ICH in patients with mild traumatic brain injury (TBI). We sought to determine if biomarkers measured early after injury improve prediction of mortality and clinical/radiologic outcomes compared with Glasgow Coma Scale (GCS) alone in patients with moderate or severe TBI (MS-TBI)., METHODS: We measured glial fibrillary acidic protein (GFAP), ubiquitin C-terminal hydrolase L1 (UCH-L1), and microtubule-associated protein-2 (MAP-2) on arrival to the emergency department (ED) in patients with blunt TBI enrolled in the placebo arm of the Prehospital TXA for TBI Trial (prehospital GCS score, 3-12; SPB, > 90). Biomarkers were modeled individually and together with prehospital predictor variables [PH] (GCS score, age, sex). Data were divided into a training data set and test data set for model derivation and evaluation. Models were evaluated for prediction of ICH, mass lesion, 48-hour and 28-day mortality, and 6-month Glasgow Outcome Scale-Extended (GOS-E) and Disability Rating Scale (DRS). Area under the curve (AUC) was evaluated in test data for PH alone, PH + individual biomarkers, and PH + three biomarkers., RESULTS: Of 243 patients with baseline samples (obtained a median of 84 minutes after injury), prehospital GCS score was 8 (interquartile range, 5-10), 55% had ICH, and 48-hour and 28-day mortality were 7% and 13%, respectively. Poor neurologic outcome at 6 months was observed in 34% based on GOS-E of 4 or less, and 24% based on DRS greater than or equal to7. Addition of each biomarker to PH improved AUC in the majority of predictive models. GFAP+PH compared with PH alone significantly improved AUC in all models (ICH, 0.82 vs. 0.64; 48-hour mortality, 0.84 vs. 0.71; 28-day mortality, 0.84 vs. 0.66; GOS-E, 0.78 vs. 0.69; DRS, 0.84 vs. 0.81, all p < 0.001)., CONCLUSION: Circulating blood-based biomarkers may improve prediction of neurological outcomes and mortality in patients with MS-TBI over prehospital characteristics alone. Glial fibrillary acidic protein appears to be the most promising. Future evaluation in the prehospital setting is warranted., LEVEL OF EVIDENCE: Prospective, Prognostic and Epidemiological, level II.",2020,/,The journal of trauma and acute care surgery,89,1,80-86,,https://dx.doi.org/10.1097/TA.0000000000002706,32251265,#4748,Anderson 2020,,yes
Brain Tissue Oxygen and Cerebrovascular Reactivity in Traumatic Brain Injury: A Collaborative European NeuroTrauma Effectiveness Research in Traumatic Brain Injury Exploratory Analysis of Insult Burden.,"Zeiler, Frederick A; Beqiri, Erta; Cabeleira, Manuel; Hutchinson, Peter J; Stocchetti, Nino; Menon, David K; Czosnyka, Marek; Smielewski, Peter; Ercole, Ari; Collaborative European NeuroTrauma Effectiveness Research in Traumatic Brain Injury (CENTER-TBI) High-Resolution ICU (HR ICU) Sub-Study Participants and Investigators","Pressure reactivity index (PRx) and brain tissue oxygen (PbtO2) are associated with outcome in traumatic brain injury (TBI). This study explores the relationship between PRx and PbtO2 in adult moderate/severe TBI. Using the Collaborative European NeuroTrauma Effectiveness Research in Traumatic Brain Injury (CENTER-TBI) high resolution intensive care unit (ICU) sub-study cohort, we evaluated those patients with archived high-frequency digital intraparenchymal intracranial pressure (ICP) and PbtO2 monitoring data of, a minimum of 6 h in duration, and the presence of a 6 month Glasgow Outcome Scale -Extended (GOSE) score. Digital physiological signals were processed for ICP, PbtO2, and PRx, with the % time above/below defined thresholds determined. The duration of ICP, PbtO2, and PRx derangements was characterized. Associations with dichotomized 6-month GOSE (alive/dead, and favorable/unfavorable outcome; <= 4 = unfavorable), were assessed. A total of 43 patients were included. Severely impaired cerebrovascular reactivity was seen during elevated ICP and low PbtO2 episodes. However, most of the acute ICU physiological derangements were impaired cerebrovascular reactivity, not ICP elevations or low PbtO2 episodes. Low PbtO2 without PRx impairment was rarely seen. % time spent above PRx threshold was associated with mortality at 6 months for thresholds of 0 (area under the curve [AUC] 0.734, p = 0.003), > +0.25 (AUC 0.747, p = 0.002) and > +0.35 (AUC 0.745, p = 0.002). Similar relationships were not seen for % time with ICP >20 mm Hg, and PbtO2 < 20 mm Hg in this cohort. Extreme impairment in cerebrovascular reactivity is seen during concurrent episodes of elevated ICP and low PbtO2. However, the majority of the deranged cerebral physiology seen during the acute ICU phase is impairment in cerebrovascular reactivity, with most impairment occurring in the presence of normal PbtO2 levels. Measures of cerebrovascular reactivity appear to display the most consistent associations with global outcome in TBI, compared with ICP and PbtO2.",2020,/,Journal of neurotrauma,37,17,1854-1863,,https://dx.doi.org/10.1089/neu.2020.7024,32253987,#4746,Zeiler 2020,,yes
Levels of caspase-1 in cerebrospinal fluid of patients with traumatic brain injury: correlation with intracranial pressure and outcome.,"Perez-Barcena, Jon; Crespi, Catalina; Frontera, Guillem; Llompart-Pou, Juan Antonio; Salazar, Osman; Goliney, Victor; Ibanez, Javier; Bullock, M Ross; de Rivero Vaccari, Juan Pablo","OBJECTIVE: The objectives of this study were to evaluate levels of inflammasome-signaling proteins in serum and CSF of patients with traumatic brain injury (TBI), and to correlate these protein levels with intracranial pressure (ICP) and clinical outcomes at 6 months after injury., METHODS: This is a prospective and observational study in patients with moderate and severe TBI who required an external ventricular drain as part of their treatment. Serum and CSF samples were collected 3 times a day for the first 5 days after TBI. The authors have determined the protein concentration of caspase-1 in the CSF and serum of patients with TBI by using commercially available enzyme-linked immunosorbent assays. The ICP value was recorded hourly. The 6-month outcome was assessed using the Glasgow Outcome Scale-Extended., RESULTS: A total of 21 patients were included in this study, and a total of 234 paired serum-CSF samples were analyzed. The area under the curve (AUC) value of caspase-1 in CSF during the 5-day period was 2452.9 pg/mL.hr in the group of patients with high ICP vs 617.6 pg/mL.hr in the patients with low ICP. The differences were mainly on day 2 (19.7 pg/mL vs 1.8 pg/mL; p = 0.06) and day 3 (13.9 pg/mL vs 1 pg/mL; p = 0.05). The AUC value of caspase in CSF during the 5-day period was 1918.9 pg/mL.hr in the group of patients with poor outcome versus 924.5 pg/mL.hr in the patients with good outcome. The protein levels of caspase-1 in CSF were higher in patients with unfavorable outcomes during the first 96 hours after TBI., CONCLUSIONS: In this cohort of patients with TBI who were admitted to the neurosurgical ICU, the inflammasome protein caspase-1 is increased in the CSF of patients with high ICP, especially on days 2 and 3 after TBI. Also the protein levels of caspase-1 in CSF were higher in patients with poor outcome during the first 96 hours after TBI. Moreover, not only the absolute value of caspase-1 in CSF but also its trend is associated with poor outcomes.",2020,/,Journal of neurosurgery,134,5,1644-1649,,https://dx.doi.org/10.3171/2020.2.JNS193079,32357337,#4713,Perez-Barcena 2020,,yes
Elevated PCT at ICU discharge predicts poor prognosis in patients with severe traumatic brain injury: a retrospective cohort study.,"Wang, Yu-Rong; Zheng, Qing-Bin; Wei, Guang-Fa; Meng, Li-Jun; Feng, Qing-Ling; Yuan, Wen-Jie; Ou, Jin-Lei; Liu, Wei-Li; Li, Yong","PURPOSE: Disease severity and inflammatory response status are closely related to a poor prognosis and must be assessed in patients with severe traumatic brain injury (STBI) before intensive care unit (ICU) discharge. Whether elevated serum procalcitonin (PCT) levels can predict a poor prognosis in STBI patients before ICU discharge is unclear., METHODS: This retrospective observational cohort study enrolled 199 STBI patients who were in the ICU for at least 48 hours and survived after discharge. Based on serum PCT levels at discharge, patients were divided into the high-PCT group (PCT >= 0.25 ng/mL) and the low-PCT group (PCT < 0.25 ng/mL). We assessed the relationship between serum PCT levels and a poor prognosis., RESULTS: The high-PCT group had a higher rate of adverse outcomes compared with the low-PCT group. Multivariate logistic regression analysis showed that the Acute Physiology and Chronic Health Evaluation II (APACHE II) score, Sequential Organ Failure Assessment (SOFA) score, white blood cell (WBC) count, C-reactive protein (CRP) level, and PCT level at discharge were significantly associated with adverse outcomes., CONCLUSIONS: Elevated PCT levels at ICU discharge were associated with a poor prognosis in STBI patients. The serum PCT level as a single indicator has limited value for clinical decision-making.",2020,/,The Journal of international medical research,48,5,3.00061E+14,,https://dx.doi.org/10.1177/0300060520922456,32368956,#4710,Wang 2020,,yes
Temporal Acute Serum Estradiol and Tumor Necrosis Factor-alpha Associations and Risk of Death after Severe Traumatic Brain Injury.,"Kumar, Raj G; DiSanto, Dominic; Awan, Nabil; Vaughan, Leah E; Levochkina, Marina S; Weppner, Justin L; Wright, David W; Berga, Sarah L; Conley, Yvette P; Brooks, Maria M; Wagner, Amy K","Severe traumatic brain injury (TBI) activates a robust systemic response that involves inflammatory and other factors, including estradiol (E2), associated with increased deaths. Tumor necrosis factor-alpha (TNFalpha) is a significant mediator of systemic shock, and it is an extra-gonadal transcription factor for E2 production. The study objectives were to test the hypotheses: (1) a positive feedback relationship exists between acute serum TNFalpha and E2; and (2) acute concentrations of E2 and TNFalpha are prognostic indicators of death after severe TBI. This prospective cohort study included N = 157 adults with severe TBI. Serum samples were collected for the first five days post-injury. The TNFalpha and E2 levels were averaged into two time epochs: first 72 h (T1) and second 72 h post-injury (T2). A cross-lag panel analysis conducted between T1 and T2 TNFalpha and E2 levels showed significant cross-lag effects: T1 TNFalpha and T1 E2 were related to T2 E2 and T2 TNFalpha, respectively. Cox proportional hazards multi variable regression models determined that increases in T1 E2 (hazard ratio [HR] = 1.79, 95% confidence interval [CI]: 1.15, 2.81), but not T2 E2 (HR = 0.91, 95% CI: 0.56, 1.47), were associated with increased risk of death. Increased T2 TNFalpha (HR = 2.47, 95% CI: 1.35, 4.53), and T1 TNFalpha (HR = 1.47, 95% CI: 0.99, 2.19), to a lesser degree, were associated with increased risk of death. Relationships of death with T2 TNFalpha and T1 E2 were mediated partially by cardiovascular, hepatic, and renal dysfunction. Both E2 and TNFalpha are systemic, reciprocally related biomarkers that may be indicative of systemic compromise and increased risk of death after severe TBI.",2020,/,Journal of neurotrauma,37,20,2198-2210,,https://dx.doi.org/10.1089/neu.2019.6577,32375598,#4708,Kumar 2020,,yes
Improvement of quality of life (QOL) between 1 and 3-4 years after traumatic brain injury (TBI) in ICU patients.,"Prieto-Palomino, Miguel Angel; Delange-VanDerKroft, Monica; Rodriguez-Rubio, David; Lafuente-Baraza, Jesus; Aguilar-Alonso, Eduardo; Rivera-Lopez, Ricardo; Arias-Verdu, Maria Dolores; Pola-GallegoDeGuzman, Maria Dolores; Munoz-Lopez, Alfonso; Fernandez-Ortega, Juan Francisco; Curiel-Balsera, Emilio; Quesada-Garcia, Guillermo; Rivera-Fernandez, Ricardo","BACKGROUND: Evaluation of changes in quality of life (QOL) in ICU patients several years after traumatic brain injury (TBI) is not well documented., METHODS: A prospective cohort study was conducted in all patients with TBI admitted between 2004 and 2008 to the ICU of Regional Hospital of Malaga (Spain). Functional status was evaluated by Glasgow Outcome Scale (GOS) and QOL by PAECC (Project for the Epidemiologic Analysis of Critical Care patients) questionnaire between 0 (normal QOL) to 29 points (worst QOL)., RESULTS: A total of 531 patients. Median(Quartile1,Quartile 3) age: 35 (22, 56) years. After 3-4 years, 175 died (33%). Survivor QOL was deteriorated (median total PAECC score: 5 (0, 11) points) although 75.76% of patients who survived showed good functional situation (GOS normal or mild dysfunction). An improvement in QOL scores between 1 and 3-4 years was observed (median PAECC score differences between 3-4 years and 1 year: - 1(- 4, 0) points). QOL score improved during this interval of time: 62.6% of patients. Change in QOL was related by multivariate analysis to admission cranial-computed tomography scan (Marshall's classification), age, and Injury Severity Score (ISS), with the biggest improvement seen in younger patients and with more severe ISS. Basic physiological activities were maintained in the majority of patients. Subjective aspects and working activities improved between 1 and 3-4 years but with a high proportion still impaired in these items after 3-4 years., CONCLUSIONS: ICU patients with TBI after 1 year show improvement in QOL between 1 and 3-4 years, with the biggest improvement in QOL seen in younger patients and in those with more severe ISS.",2020,/,Acta neurochirurgica,162,7,1619-1628,,https://dx.doi.org/10.1007/s00701-020-04337-2,32405669,#4702,Prieto-Palomino 2020,,yes
"Associations between serum tau, neurological outcome, and cognition following traumatic brain injury.","Ni, Ping; Qiao, Yuting; Tong, Wusong; Zhao, Chunfang; Zheng, Ping","Objective: To investigate the dynamic change in the serum Tau protein early after acute traumatic brain injury (TBI) and its association with neurological outcome and cognitive function., Subjects and Methods: Around 229 patients with acute TBI and 30 healthy subjects were evaluated for the serum levels of Tau protein on 1, 3, 5, 7, and 14 days after TBI. The relationships of the serum levels of Tau protein and initial GCS and GOS at 6 months post-injury were also analyzed. Further, 95 TBI patients were assessed with their cognitive function with Montreal cognitive assessment (MoCA) score., Results: Serum Tau was significantly higher in patients with TBI at 1, 3, 5, 7, and 14 days. The serum Tau at each point was significantly lower respectively in the patients with mild TBI than that in medium and severe TBI. The serum Tau was significantly lower in patients with good outcome compared to the poor outcome group. The early serum Tau was negatively correlated with both GCS and GOS. In the TBI group, 39 (41%) out of 95 patients developed cognitive dysfunction assessed by MoCA. Tau protein at day 1, 3, and 5 after TBI was significantly correlated with cognitive dysfunction at 6 months after TBI., Conclusions: Acute Tau associations with neurological outcomes and cognition may implicate white matter damage and neuronal degeneration. Serum Tau may be used as a reliable biological marker for early diagnosis and cognitive recovery following TBI.",2020,/,Neurology India,68,2,462-467,,https://dx.doi.org/10.4103/0028-3886.284380,32415025,#4698,Ni 2020,,yes
Prognostic computed tomography Scores in traumatic brain injury.,"Rafay, Muhammad; Gulzar, Farhan; Iqbal, Noorulain; Sharif, Salman","BACKGROUND: Traumatic brain injuries represent a significant cause of morbidity and mortality worldwide and road traffic crashes account for a significant proportion of these injuries. It is one of the leading causes of death, especially among young adults, and, according to the World Health Organization, this will surpass many diseases as the major cause of death and disability by the year 2020 and lifelong disability is common in those who survive. It is also known as the silent epidemic. Many CT scan scoring systems for brain injury have been developed but none of them are validated. These scores are based on structural findings of CT scan to predict the prognosis. Marshall and Rotterdam are the two most widely used scoring systems., METHOD: This was an observational study with prospectively collected data. 903 consecutive patients with TBI. This study aimed to compare the Helsinki CT scoring system with the Rotterdam scoring system to find out the better score for the prognostic purpose by using the Glasgow outcome score., RESULTS: Helsinki CT scoring system was found to be the most accurate score among the others in predicting the outcome of the patient based on morphological findings in CT scan. These scores also guided us regarding the treatment plan and patients with the good prognostic outcome are usually treated aggressively. Also these scores guide clinicians whether to opt for a conservative approach or any intervention., CONCLUSION: In this study we compared, Rotterdam vs. Helsinki CT Scoring System. We observed that the Helsinki score was a better outcome predictor for TBI than the Rotterdam score and can be used as a single validated score in predicting outcome and guiding the treatment. Copyright © 2020 Elsevier B.V. All rights reserved.",2020,/,Clinical neurology and neurosurgery,195,"df4, 7502039",105957,,https://dx.doi.org/10.1016/j.clineuro.2020.105957,32485552,#4676,Rafay 2020,,yes
Strategic white matter injury associated with long-term information processing speed deficits in mild traumatic brain injury.,"Bai, Lijun; Bai, Guanghui; Wang, Shan; Yang, Xuefei; Gan, Shuoqiu; Jia, Xiaoyan; Yin, Bo; Yan, Zhihan","Deficits in information processing speed (IPS) are among the earliest and most prominent cognitive manifestations in mild traumatic brain injury (mTBI). We investigated the impact of white matter fiber location on IPS outcome in an individual basis assessment. A total of 112 acute mild TBI with all CT negative underwent brain DTI and blood sampling for inflammation cytokines within 7 days postinjury and 72 age- and sex matched healthy controls with same assessments were enrolled. IPS outcome was assessed by the trail making test at 6-12 month postinjury in mild TBI. Fractional anisotropy (FA) features were extracted using a novel lesion-load analytical strategy to capture spatially heterogeneous white matter injuries and minimize implicit assumptions of uniform injury across diverse clinical presentations. Acute mild TBI exhibited a general pattern of increased and decreased FA in specific white matter tracts. The power of acute FA measures to identify patients developing IPS deficits with 92% accuracy and further improved to 96% accuracy by adding inflammation cytokines. The classifiers predicted individual's IPS and working memory ratings (r = .74 and .80, respectively, p < .001). The thalamo-cortical circuits and commissural tracts projecting or connecting frontal regions became important predictors. This prognostic model was also verified by an independent replicate sample. Our findings highlighted damage to frontal interhemispheric and thalamic projection fiber tracts harboring frontal-subcortical neuronal circuits as a predictor for processing speed performance in mild TBI. Copyright © 2020 The Authors. Human Brain Mapping published by Wiley Periodicals LLC.",2020,/,Human brain mapping,41,15,4431-4441,,https://dx.doi.org/10.1002/hbm.25135,32657510,#4209,Bai 2020,,yes
Long-term Multidisciplinary Rehabilitation Efficacy in Older Patients After Traumatic Brain Injury: Assessed by the Functional Independence Measure.,"Harada, Akio; Kawai, Nobuyuki; Ogawa, Tomoya; Hatakeyama, Tetsuhiro; Tamiya, Takashi","Instances of traumatic brain injury (TBI) in the elderly have been increasing along with the aging of popula-tions. In the present study, we examined the effect of aging on long-term multidisciplinary in-patient rehabili-tation efficacy after TBI. Sixty-three patients with physical and cognitive impairments after TBI were enrolled in this study. Patients were divided into 4 age groups (<= 24, 25-44, 45-64, >= 65 years) and the clinical charac-teristics and rehabilitation efficacy of each age group were determined. Functional disability was evaluated using motor and cognitive Functional Independence Measure (FIM) scores. Rehabilitation efficacy was assessed by FIM gains during rehabilitation and compared among the groups. There were no statistically significant dif-ferences in motor and cognitive FIM gains among the age groups. However, cognitive FIM gain was limited in a subset of >= 65 patients, and initial cognitive measures could not predict cognitive FIM improvement. These results indicate that chronological age is insufficient to accurately predict rehabilitation efficacy in older TBI patients, and that such patients should be considered candidates for intensive rehabilitation programs based on these results. Accurate prognostication of rehabilitation efficacy with continuing data collection is important when using rehabilitation resources for older TBI patients.",2021,/,Acta medica Okayama,75,4,479-486,,https://dx.doi.org/10.18926/AMO/62400,34511615,#4180,Harada 2021,,yes
Functional recovery after brain injury: Independent predictors of psychosocial outcome one year after TBI.,"Ritter, Jonathan; Dawson, Jeremy; Singh, Rajiv K","INTRODUCTION: Traumatic Brain Injury (TBI) is the leading cause of death and disability in people aged under 40 in the UK. Many patients suffer residual deficits, which limits their functional recovery. The aim of this study was to determine independent predictors of functional outcome at 1-year post-TBI., METHODS: Utilising a prospective observational cohort design, 1131 consecutive adult admissions with non-recurrent TBI were recruited from the ED (Emergency Department). Using routine consultant-led follow up clinics, data was collected between August 2011 and July 2015. The Rivermead Head Injury Follow Up Questionnaire (RHFUQ) was used to measure psychosocial function at 1 year., RESULTS: A multiple linear regression model showed that previous psychiatric history (p < 0.001), lower Glasgow Coma Scale (p < 0.001), a severe CT scan (p = 0.002), aetiology of assault compared to sport (p = 0.011) and falls (p = 0.005), initial unemployment (p < 0.001) and no job at 8-10 weeks (p < 0.001) after TBI had a significant association with a worse RHFUQ score at 1 year. Follow up rate was >90 %., CONCLUSIONS: This study adds valuable information on the prognostic indicators of TBI recovery and possible targets for intervention. Future development of a validated prognostic model to predict long term functional outcomes after TBI will help improve long-term treatment of the condition. Copyright © 2021. Published by Elsevier B.V.",2021,/,Clinical neurology and neurosurgery,203,"df4, 7502039",106561,,https://dx.doi.org/10.1016/j.clineuro.2021.106561,33618172,#4176,Ritter 2021,,yes
Digital signatures for early traumatic brain injury outcome prediction in the intensive care unit.,"Palepu, Anil K; Murali, Aditya; Ballard, Jenna L; Li, Robert; Ramesh, Samiksha; Nguyen, Hieu; Kim, Hanbiehn; Sarma, Sridevi; Suarez, Jose I; Stevens, Robert D","Traumatic brain injury (TBI) is a leading neurological cause of death and disability across the world. Early characterization of TBI severity could provide a window for therapeutic intervention and contribute to improved outcome. We hypothesized that granular electronic health record data available in the first 24 h following admission to the intensive care unit (ICU) can be used to differentiate outcomes at discharge. Working from two ICU datasets we focused on patients with a primary admission diagnosis of TBI whose length of stay in ICU was >= 24 h (N = 1689 and 127). Features derived from clinical, laboratory, medication, and physiological time series data in the first 24 h after ICU admission were used to train elastic-net regularized Generalized Linear Models for the prediction of mortality and neurological function at ICU discharge. Model discrimination, determined by area under the receiver operating characteristic curve (AUC) analysis, was 0.903 and 0.874 for mortality and neurological function, respectively. Model performance was successfully validated in an external dataset (AUC 0.958 and 0.878 for mortality and neurological function, respectively). These results demonstrate that computational analysis of data routinely collected in the first 24 h after admission accurately and reliably predict discharge outcomes in ICU stratum TBI patients. Copyright © 2021. The Author(s).",2021,/,Scientific reports,11,1,19989,,https://dx.doi.org/10.1038/s41598-021-99397-4,34620915,#4174,Palepu 2021,,yes
Genetic Influences on Patient-Oriented Outcomes in Traumatic Brain Injury: A Living Systematic Review of Non-Apolipoprotein E Single-Nucleotide Polymorphisms.,"Zeiler, Frederick A; McFadyen, Charles; Newcombe, Virginia F J; Synnot, Anneliese; Donoghue, Emma L; Ripatti, Samuli; Steyerberg, Ewout W; Gruen, Russel L; McAllister, Thomas W; Rosand, Jonathan; Palotie, Aarno; Maas, Andrew I R; Menon, David K","There is a growing literature on the impact of genetic variation on outcome in traumatic brain injury (TBI). Whereas a substantial proportion of these publications have focused on the apolipoprotein E (APOE) gene, several have explored the influence of other polymorphisms. We undertook a systematic review of the impact of single-nucleotide polymorphisms (SNPs) in non-apolipoprotein E (non-APOE) genes associated with patient outcomes in adult TBI). We searched EMBASE, MEDLINE, CINAHL, and gray literature from inception to the beginning of August 2017 for studies of genetic variance in relation to patient outcomes in adult TBI. Sixty-eight articles were deemed eligible for inclusion into the systematic review. The SNPs described were in the following categories: neurotransmitter (NT) in 23, cytokine in nine, brain-derived neurotrophic factor (BDNF) in 12, mitochondrial genes in three, and miscellaneous SNPs in 21. All studies were based on small patient cohorts and suffered from potential bias. A range of SNPs associated with genes coding for monoamine NTs, BDNF, cytokines, and mitochondrial proteins have been reported to be associated with variation in global, neuropsychiatric, and behavioral outcomes. An analysis of the tissue, cellular, and subcellular location of the genes that harbored the SNPs studied showed that they could be clustered into blood-brain barrier associated, neuroprotective/regulatory, and neuropsychiatric/degenerative groups. Several small studies report that various NT, cytokine, and BDNF-related SNPs are associated with variations in global outcome at 6-12 months post-TBI. The association of these SNPs with neuropsychiatric and behavioral outcomes is less clear. A definitive assessment of role and effect size of genetic variation in these genes on outcome remains uncertain, but could be clarified by an adequately powered genome-wide association study with appropriate recording of outcomes.",2021,/,Journal of neurotrauma,38,8,1107-1123,,https://dx.doi.org/10.1089/neu.2017.5583,29799308,#4170,Zeiler 2021,,yes
Apolipoprotein E4 Polymorphism and Outcomes from Traumatic Brain Injury: A Living Systematic Review and Meta-Analysis.,"McFadyen, Charles A; Zeiler, Frederick A; Newcombe, Virginia; Synnot, Anneliese; Steyerberg, Ewout; Gruen, Russel L; Rosand, Jonathan; Palotie, Aarno; Maas, Andrew I R; Menon, David K","The mortality of traumatic brain injury (TBI) has been largely static despite advances in monitoring and imaging techniques. Substantial variance exists in outcome, not fully accounted for by baseline characteristics or injury severity, and genetic factors likely play a role in this variance. The aims of this systematic review were to examine the evidence for a link between the apolipoprotein E4 (APOE4) polymorphism and TBI outcomes and where possible, to quantify the effect size via meta-analysis. We searched EMBASE, MEDLINE, CINAHL, and gray literature in December 2017. We included studies of APOE genotype in relation to functional adult TBI outcomes. Methodological quality was assessed using the Quality in Prognostic Studies Risk of Bias Assessment Instrument and the prognostic studies adaptation of the Grading of Recommendations Assessment, Development and Evaluation tool. In addition, we contacted investigators and included an additional 160 patients whose data had not been made available for previous analyses, giving a total sample size of 2593 patients. Meta-analysis demonstrated higher odds of a favorable outcome following TBI in those not possessing an ApoE e4 allele compared with e4 carriers and homozygotes (odds ratio 1.39, 95% confidence interval 1.05 to 1.84; p = 0.02). The influence of APOE4 on neuropsychological functioning following TBI remained uncertain, with multiple conflicting studies. We conclude that the ApoE e4 allele confers a small risk of poor outcome following TBI, with analysis by TBI severity not possible based on the currently available published data. Further research into the long-term neuropsychological impact and risk of dementia is warranted.",2021,/,Journal of neurotrauma,38,8,1124-1136,,https://dx.doi.org/10.1089/neu.2018.6052,30848161,#4169,McFadyen 2021,,yes
