Covidence #,Study ID,Title,Reviewer Name,Include?,Primary study aim,Country in which the study was conducted,Study design,Data source,Database/Randomized controlled trial name (if applicable),Clinical setting of data collection,Start date for collection of patient data (YYYY),End date for collection of patient data (YYYY),Age criteria for inclusion (in years),"How is TBI defined? (e.g., ""ICD9 codes"", ""Not defined"")",Range of TBI severity in patient population,"Factors used to define TBI severity, separated by commas (e.g., ""GCS"", ""GCS, AIS"")",Specific inclusion criteria,Specific exclusion criteria,Number of participants included in prognostication analysis,Average age of participants (in years),"Male/female ratio (""M"" if all male, ""F"" if all female)",Prognostic factors and outcomes analyses,Types of models involved for prognostication analysis,Additional notes on core information,Additional notes
22529,Hosseini 2016,"Comparison of glasgow coma scale, full outline of unresponsiveness and acute physiology and chronic health evaluation in prediction of mortality rate among patients with traumatic brain injury admitted to intensive care unit",Steven Qiu,Yes,Analysis of prognostic factors,Other: Iran,Cohort study,Prospective data collection,"",Hospital admission,2012,2013,">=16, <=60",Not defined,Mild; Moderate,"",Admission to hospital for more than 24hrs,"History of addiction
Trauma surgery problems
Coma (GCS < 7) 
Use of sedative medications before evaluation",80,33.8,4,"Age | Mortality | N | Regression
Gender | Mortality | N | Regression
Mechanism of injury | Mortality | N | Regression
FOUR | Mortality | Y | Regression
APACHE II | Mortality | Y | Regression
GCS | Mortality | Y | Regression
FOUR | Mortality | Y | ROC AUC
APACHE II | Mortality | Y | ROC AUC
GCS | Mortality | Y | ROC AUC","Regression (i.e., logistic, linear); Binary classifier with ROC","",Severity range was not explicitly mentioned and hence was extrapolated from GCS inclusion/exclusion criteria as the paper mentioned using GCS as a measure of severity 
22464,Arbour 2016,Visual Fixation in the ICU: A Strong Predictor of Long-Term Recovery after Moderate-to-Severe Traumatic Brain Injury*,Steven Qiu,Yes,Analysis of prognostic factors,Canada,Cohort study,Retrospective chart review,"",Hospital admission,2010,2013,>=16,Not defined,Moderate; Severe,GCS,"ICU admission
Alive at discharge","Death during hospitalization
Receiving repeated doses of blocking agents within the first 24 hours of ICU admission
Any other condition preventing bilateral eyelid opening or visual fixation (e.g., ocular oedema, eyelid laceration) 
Penetrating TBI",144,35.67,3.11,"Visual fixation (hours without) | GOS-E (10-40 months post-injury) | Y | Regression
PTA (duration) | GOS-E (10-40 months post-injury) | Y | Regression
GCS | GOS-E (10-40 months post-injury) | N | Regression","Regression (i.e., logistic, linear); Binary classifier with ROC","",Had a case-control style analysis of visual fixation to predict in-hospital mortality but there was no control group
22328,Stefani 2017,Elevated glutamate and lactate predict brain death after severe head trauma,Steven Qiu,Yes,Analysis of prognostic factors,Other: Brazil,Cohort study,Prospective data collection,"",Hospital admission,2006,2009,">=16, <=53","",Severe,GCS,"Isolated TBI
Positive CT findings","Previous history of inflammatory, metabolic, and neuropsychiatric disorders that could influence the biomarkers' concentrations (e.g., diabetes, drug abuse)",20,29,9,"Age | Brain death (3 days post-injury) | N | U-test
ICP | Brain death (3 days post-injury) | N | U-test
MAP | Brain death (3 days post-injury) | N | U-test
CPP | Brain death (3 days post-injury) | N | U-test
GCS | Brain death (3 days post-injury) | N | U-test
CSF glucose | Brain death (3 days post-injury) | N | U-test
CSF glutamate | Brain death (3 days post-injury) | Y | U-test
CSF lactate | Brain death (3 days post-injury) | Y | U-test
CSF BDNF | Brain death (3 days post-injury) | N | U-test
CSF GDNF | Brain death (3 days post-injury) | N | U-test",T-test/Mann-Whitney U-test/Wilcoxon test; Binary classifier with ROC,"",""
22237,Kenney 2017,Effect of phosphodiesterase-5 inhibition on cerebrovascular reactivity in chronic traumatic brain injury (TBI),Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
21251,Reid 2018,Adversity and Resilience Are Associated with Outcome after Mild Traumatic Brain Injury in Military Service Members,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
20875,Kumar 2019,Variability with Astroglial Glutamate Transport Genetics Is Associated with Increased Risk for Post-Traumatic Seizures,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",Patients needed positive head computed tomography findings
20788,Rubin 2019,"Prognosis of six-month glasgow outcome scale in severe traumatic brain injury using hospital admission characteristics, injury severity characteristics, and physiological monitoring during the first day post-injury",Steven Qiu,No (Wrong analysis),"",US,Cohort study,Retrospective chart review,"",Hospital admission,1989,2012,"","",Severe,"",GCS <6,"Died within 24h after injury
Penetrating TBI or unknown mechanism of injury
GCS 3 with fixed and dilated pupils
Severe associated systemic injury",630,"","",GOS (6 month post-injury),"Regression (i.e., logistic, linear); Support vector machine; Decision tree; Random forest; Other: Linear discriminant analysis, Quadratic discriminant analysis","","Data seems to come from a pooling of patients from multiple studies, each with their own inclusion/exclusion"
20746,Caplain 2019,Efficacy of Psychoeducation and Cognitive Rehabilitation After Mild Traumatic Brain Injury for Preventing Post-concussional Syndrome in Individuals With High Risk of Poor Prognosis: A Randomized Clinical Trial,Steven Qiu,No (Wrong analysis),"","","","","","","","","","","","","","","","","","","","",""
20622,Turgeon 2019,Factors influencing decisions by critical care physicians to withdraw life-sustaining treatments in critically ill adult patients with severe traumatic brain injury,Steven Qiu,No (Wrong outcome),"","","","","","","","","","","","","","","","","","","","",""
20539,Tunthanathip 2019,Development and validation of a nomogram for predicting the mortality after penetrating traumatic brain injury,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
20306,Chen 2020,Risk factors for corticosteroid insufficiency during the sub-acute phase of acute traumatic brain injury,Steven Qiu,Yes,Analysis of prognostic factors,Other: China,Cohort study,Prospective data collection,"",Hospital admission,2012,2017,">=18, <=65",Not defined,Mild; Moderate; Severe,GCS,"","Pregnancy, malignancies, spinal cord injury with immediate methylprednisolone administration
History of adrenal insufficiency, peptic ulcer, injury to GI tract
Treatment with corticosteroids within last 6 months 
Previous use of immunosuppressants, etomidate, or NSAIDs
",140,43.47,1.69,"Injury severity | Mortality (28 days post-injury) | Y | Kruskal-Wallis test
CIRC I Mortality (28 days post-injury) | Y | Fisher's exact test
CIRC I Pneumonia (28 days post-injury) | Y | Fisher's exact test
CIRC I Gastrointestinal bleeding (28 days post-injury) | Y | Fisher's exact test",ANOVA/Kruskal-Wallis test/Friedman test; Chi-squared/Fisher's exact test,"",""
20202,Salvato 2020,Autonomic responses to emotional linguistic stimuli and amplitude of low-frequency fluctuations predict outcome after severe brain injury,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",Looks at disorders of consciousness rather than TBI
20142,Laufer 2020,Prospective longitudinal investigation shows correlation of event-related potential to mild traumatic brain injury in adolescents,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
19768,Dijkland 2021,Outcome Prediction after Moderate and Severe Traumatic Brain Injury: External Validation of Two Established Prognostic Models in 1742 European Patients,Steven Qiu,No (Wrong analysis),"","","","","","","","","","","","","","","","","","","","",""
19727,Peng 2021,Role of diffusion tensor imaging combined with neuron-specific enolase and s100 calcium-binding protein b detection in predicting the prognosis of moderate and severe traumatic brain injury,Steven Qiu,Yes,Analysis of prognostic factors,Other: China,Cohort study,Retrospective chart review,"",Hospital admission,2016,2019,16-60,Not defined,Moderate; Severe,GCS,"Confirmation of TBI by CT head
GCS 6-12","Severe injuries at other sites (e.g., thorax, abdomen, spine, limbs) 
Previous history of neurological diseases (e.g., brain tumor, cerebral hemorrhage, brain abscess, stroke) or mental illness
Severe heart, lung, liver, or kidney diseases 
Death within 24hrs",74,34.2,1.18,"DTI FA (corpus callosum, internal capsule, cerebral peduncle) | GOS (3-6 months post-injury) | Y | Kolmogorov-Smirnov test
NSE | GOS (3-6 months post-injury) | Y | Kolmogorov-Smirnov test
S100B | GOS (3-6 months post-injury) | Y | Kolmogorov-Smirnov test",Chi-squared/Fisher's exact test; Other: Kolmogorov-Smirnov test,Sub-analyses did not pool patients together so generalizations to core factor-outcome relationships had to be made,""
19301,Jha 2021,Epigenetic regulation of ABCC8 and TRPM4 is associated with intracranial hypertension and outcome after severe TBI,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
19285,Gaibino 2021,Sodium homeostasis in patients with traumatic brain injury and its impact on mortality,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
19280,Bhattacharyay 2021,Machine learning to understand unmet needs for multiclass outcome prediction in the ICU after traumatic brain injury,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
19186,Gonzalez 2021,Diffusion Tensor Imaging Correlates of Concussion Related Cognitive Impairment,Steven Qiu,No (Wrong patient population),"",US,Cohort study,"","","","","","","","","","","","","","","","","",""
19185,Jaleel 2021,Role of apolipoprotein E gene variants in cognitive outcome of patients after moderate degree diffuse brain injuries,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
19171,Kim 2021,Predictive data signatures in ICU-stratum traumatic brain injury patients: Computational approach,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
19015,Wilde 2022,"A Framework to Advance Biomarker Development in the Diagnosis, Outcome Prediction, and Treatment of Traumatic Brain Injury",Steven Qiu,No (Wrong study design) ,"","","","","","","","","","","","","","","","","","","","",""
9725,Chamoun 2010,Role of extracellular glutamate measured by cerebral microdialysis in severe traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Prospective data collection,"",Hospital admission,2000,2007,16-91,Not defined,Severe,GCS,"","Penetrating TBI
GCS = 3
Fixed, dilated pupils",165,36.6,5.88,"Glutamate (CSF, level) | Mortality (6 months post-injury) | N | Chi-squared
Glutamate (CSF, trend) | Mortality (6 months post-injury) | Y | Regression
Age | Mortality (6 months post-injury) | Y | Regression
GCS | Mortality (6 months post-injury) | Y | Regression
Marshall score | Mortality (6 months post-injury) | Y | Regression","Regression (i.e., logistic, linear); Chi-squared/Fisher's exact test","",""
9666,Chuang 2010,Neuroglobin genetic polymorphisms and their relationship to functional outcomes after traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,"","",Hospital admission,"","",16-75,"GCS, positive CT findings",Severe,GCS,"Closed head injury on CT
Caucasian ethnicity",History of neurologic deficits,196,34,3.85,"NGB (rs3783988) | GOS (3 months post-injury) | Y | Chi-squared
NGB (rs3783988) | GOS (6 months post-injury) | Y | Chi-squared
NGB (rs3783988) | GOS (12 months post-injury) | Y | Chi-squared
NGB (rs3783988) | GOS (24 months post-injury) | Y | Chi-squared
NGB (rs3783988) | DRS (3 months post-injury) | Y | T-test
NGB (rs3783988) | DRS (6 months post-injury) | Y | T-test
NGB (rs3783988) | DRS (12 months post-injury) | Y | T-test
NGB (rs3783988) | DRS (24 months post-injury) | Y | T-test
NGB (rs3783988) | NRS-R (3 months post-injury) | N | T-test
NGB (rs3783988) | NRS-R (6 months post-injury) | N | T-test
NGB (rs3783988) | NRS-R (12 months post-injury) | N | T-test
NGB (rs3783988) | NRS-R (24 months post-injury) | N | T-test
NGB (rs10133981) | GOS (3 months post-injury) | N | Fisher's exact test
NGB (rs10133981) | GOS (6 months post-injury) | N | Fisher's exact test
NGB (rs10133981) | GOS (12 months post-injury) | N | Fisher's exact test
NGB (rs10133981) | GOS (24 months post-injury) | N | Fisher's exact test
NGB (rs10133981) | DRS (3 months post-injury) | N | T-test
NGB (rs10133981) | DRS (6 months post-injury) | N | T-test
NGB (rs10133981) | DRS (12 months post-injury) | N | T-test
NGB (rs10133981) | DRS (24 months post-injury) | N | T-test
NGB (rs10133981) | NRS-R (3 months post-injury) | N | T-test
NGB (rs10133981) | NRS-R (6 months post-injury) | N | T-test
NGB (rs10133981) | NRS-R (12 months post-injury) | N | T-test
NGB (rs10133981) | NRS-R (24 months post-injury) | N | T-test
Age | GOS (3 months post-injury) | N | Regression
Age | GOS (6 months post-injury) | Y | Regression
Age | GOS (12 months post-injury) | Y | Regression
Age | GOS (24 months post-injury) | Y | Regression
Gender | GOS (3 months post-injury) | N | Regression
Gender | GOS (6 months post-injury) | N | Regression
Gender | GOS (12 months post-injury) | N | Regression
Gender | GOS (24 months post-injury) | N | Regression
GCS | GOS (3 months post-injury) | N | Regression
GCS | GOS (6 months post-injury) | Y | Regression
GCS | GOS (12 months post-injury) | Y | Regression
GCS | GOS (24 months post-injury) | N | Regression
NGB (rs3783988) | GOS (3 months post-injury) | N | Regression
NGB (rs3783988) | GOS (6 months post-injury) | N | Regression
NGB (rs3783988) | GOS (12 months post-injury) | Y | Regression
NGB (rs3783988) | GOS (24 months post-injury) | N | Regression","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test","",""
9621,Bombardier 2010,Rates of major depressive disorder and clinical outcomes following traumatic brain injury.,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
9532,Benedictus 2010,Cognitive and behavioral impairment in traumatic brain injury related to outcome and return to work.,Steven Qiu,Yes,Analysis of prognostic factors,Other: Netherlands,Cohort study,Prospective data collection,"",Hospital admission,2000,2008,15-83,Not defined,Mild; Moderate; Severe,GCS,"",Death during hospital admission,434,34.8,2.57,"Injury severity | Physical outcome | N | Chi-squared
Injury severity | Cognitive outcome | Y | Chi-squared
Injury severity | Behavioral outcome | Y | Chi-squared 
Injury severity | Social outcome | N | Chi-squared",Chi-squared/Fisher's exact test,"","Different time points for evaluation for mild/moderate TBI vs severe
Excluded factors that were not acute (GOS, DOS) "
8617,Adamczak 2012,Inflammasome proteins in cerebrospinal fluid of brain-injured patients as biomarkers of functional outcome: clinical article.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Prospective data collection,"",Hospital admission,"","",">=16, <=65",Not defined,Moderate; Severe,GCS,"","Patients with acute meningitis, cerebral vasculitis, or other recent CNS infection",23,29.78,3.6,"ASC | GOS | Y | U-test
caspase-1 | GOS | Y | U-test
NALP-1 | GOS | Y | U-test
ASC | GOS | Y | Regression
caspase-1 | GOS | Y | Regression
NALP-1 | GOS | Y | Regression
ASC | GOS | Y | Krushkal-wallis test
caspase-1 | GOS | Y | Krushkal-wallis test
NALP-1 | GOS | Y | Krushkal-wallis test","Regression (i.e., logistic, linear); ANOVA/Kruskal-Wallis test/Friedman test; T-test/Mann-Whitney U-test/Wilcoxon test","","Although there was no lower limit of age for inclusion, the minimum age of the sample was 16"
8565,Jung 2014,Prognostic factors of neurocognitive and functional outcomes in junior and senior elderly patients with traumatic brain injury undergoing disability evaluation or appointed disability evaluation.,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
8465,Jacobs 2013,Outcome prediction in moderate and severe traumatic brain injury: a focus on computed tomography variables.,Steven Qiu,Yes,Analysis of prognostic factors,Other: Netherlands,Cohort study,Prospective data collection,Radboud University Brain Injury Cohort Study,Emergency department; Hospital admission,1998,2006,>=16,Not defined,Moderate; Severe,GCS,"",Penetrating TBI,700,43.76,2.43,"Compressed basal cisterns | Mortality (6 months post-injury) | Y | Regression
Absent basal cisterns | Mortality (6 months post-injury) | Y | Regression
Abnormal 4th ventricle | Mortality (6 months post-injury) | Y | Regression
Petechial hemorrhage | Mortality (6 months post-injury) | N | Regression
Petechial hemorrhage type | Mortality (6 months post-injury) | N | Regression
Facial fractures | Mortality (6 months post-injury) | N | Regression
Age | Mortality (6 months post-injury) | Y | Regression
Pupil reactivity (one abnormal pupil) | Mortality (6 months post-injury) | N | Regression
Pupil reactivity (two abnormal pupils) | Mortality (6 months post-injury) | Y | Regression
Number of contusions | Mortality (6 months post-injury) | Y | Regression
Hypotensive episode | Mortality (6 months post-injury) | Y | Regression
Gender | Mortality (6 months post-injury) | N | Regression
Extracranial trauma | Mortality (6 months post-injury) | N | Regression
Alcohol | Mortality (6 months post-injury) | N | Regression
GCS | Mortality (6 months post-injury) | Y | Regression
Compressed basal cisterns | GOS-E (6 months post-injury) | Y | Regression
Absent basal cisterns | GOS-E (6 months post-injury) | Y | Regression
Age | GOS-E (6 months post-injury) | Y | Regression
Hypotensive episode | GOS-E (6 months post-injury) | Y | Regression
Epidural hematoma | GOS-E (6 months post-injury) | N | Regression
Acute subdural hematoma | GOS-E (6 months post-injury) | Y | Regression
Hemorrhagic contusion | GOS-E (6 months post-injury) | Y | Regression
Pupil reactivity (one abnormal pupil) | GOS-E (6 months post-injury) | N | Regression
Pupil reactivity (two abnormal pupils) | GOS-E (6 months post-injury) | Y | Regression
GCS | GOS-E (6 months post-injury) | Y | Regression
Compressed basal cisterns | GOS-E (6 months post-injury, excluding death) | N | Regression
Absent basal cisterns | GOS-E (6 months post-injury, excluding death) | Y | Regression
Age | GOS-E (6 months post-injury, excluding death) | Y | Regression
Hypotensive episode | GOS-E (6 months post-injury, excluding death) | Y | Regression
Epidural hematoma | GOS-E (6 months post-injury, excluding death) | N | Regression
Acute subdural hematoma | GOS-E (6 months post-injury, excluding death) | Y | Regression
Hemorrhagic contusion | GOS-E (6 months post-injury, excluding death) | Y | Regression
Pupil reactivity (one abnormal pupil) | GOS-E (6 months post-injury, excluding death) | N | Regression
Pupil reactivity (two abnormal pupils) | GOS-E (6 months post-injury, excluding death) | N | Regression
GCS | GOS-E (6 months post-injury, excluding death) | N | Regression","Regression (i.e., logistic, linear)","","Both univariate and multivariate regression was performed, core info pools these results"
8273,McCauley 2013,Neurological outcome scale for traumatic brain injury: III. Criterion-related validity and sensitivity to change in the NABIS hypothermia-II clinical trial.,Steven Qiu,Yes,Analysis of prognostic factors,"Other: US, Canada",Cohort study,Prospective data collection,NABIS:H-II,Hospital admission,2005,2009,16-45,Not defined,Severe,GCS,Survival 3 months post-injury,"GCS 3 with non-reactive pupils
GCS 7-8 with normal CT
AIS >4 for organs other than the brain
SBP <110mmHg
DBP <60mmHg
Persistent hypoxia (O2 saturation <94%)
Pregnancy",94,29.1,5.27,"GCS | NOS-TBI (3 months post-injury) | N | Spearman
GCS | NOS-TBI (6 months post-injury) | N | Spearman
GCS | NOS-TBI (12 months post-injury) | N | Spearman
GCS | GOS (3 months post-injury) | N | Spearman
GCS | GOS (6 months post-injury) | N | Spearman
GCS | GOS (12 months post-injury) | N | Spearman
GCS | GOS-E (3 months post-injury) | N | Spearman
GCS | GOS-E (6 months post-injury) | N | Spearman
GCS | GOS-E (12 months post-injury) | N | Spearman
GCS | DRS (3 months post-injury) | N | Spearman
GCS | DRS (6 months post-injury) | N | Spearman
GCS | DRS (12 months post-injury) | N | Spearman
GCS | NRS-R (3 months post-injury) | N | Spearman
GCS | NRS-R (6 months post-injury) | N | Spearman
GCS | NRS-R (12 months post-injury) | N | Spearman

Marshall score | NOS-TBI (3 months post-injury) | N | Spearman
Marshall score | NOS-TBI (6 months post-injury) | N | Spearman
Marshall score | NOS-TBI (12 months post-injury) | N | Spearman
Marshall score | GOS (3 months post-injury) | N | Spearman
Marshall score | GOS (6 months post-injury) | N | Spearman
Marshall score | GOS (12 months post-injury) | Y | Spearman
Marshall score | GOS-E (3 months post-injury) | Y | Spearman
Marshall score | GOS-E (6 months post-injury) | N | Spearman
Marshall score | GOS-E (12 months post-injury) | Y | Spearman
Marshall score | DRS (3 months post-injury) | Y | Spearman
Marshall score | DRS (6 months post-injury) | N | Spearman
Marshall score | DRS (12 months post-injury) | Y | Spearman
Marshall score | NRS-R (3 months post-injury) | N | Spearman
Marshall score | NRS-R (6 months post-injury) | Y | Spearman
Marshall score | NRS-R (12 months post-injury) | N | Spearman

Lesion volume | NOS-TBI (3 months post-injury) | N | Spearman
Lesion volume | NOS-TBI (6 months post-injury) | N | Spearman
Lesion volume | NOS-TBI (12 months post-injury) | N | Spearman
Lesion volume | GOS (3 months post-injury) | N | Spearman
Lesion volume | GOS (6 months post-injury) | N | Spearman
Lesion volume | GOS (12 months post-injury) | N | Spearman
Lesion volume | GOS-E (3 months post-injury) | N | Spearman
Lesion volume | GOS-E (6 months post-injury) | N | Spearman
Lesion volume | GOS-E (12 months post-injury) | N | Spearman
Lesion volume | DRS (3 months post-injury) | N | Spearman
Lesion volume | DRS (6 months post-injury) | N | Spearman
Lesion volume | DRS (12 months post-injury) | N | Spearman
Lesion volume | NRS-R (3 months post-injury) | Y | Spearman
Lesion volume | NRS-R (6 months post-injury) | N | Spearman
Lesion volume | NRS-R (12 months post-injury) | N | Spearman

NOS-TBI (1 month post-injury) | GOS (3 months post-injury) | Y | Spearman
NOS-TBI (1 month post-injury) | GOS (6 months post-injury) | Y | Spearman
NOS-TBI (1 month post-injury) | GOS (12 months post-injury) | N | Spearman
NOS-TBI (1 month post-injury) | GOS-E (3 months post-injury) | Y | Spearman
NOS-TBI (1 month post-injury) | GOS-E (6 months post-injury) | Y | Spearman
NOS-TBI (1 month post-injury) | GOS-E (12 months post-injury) | N | Spearman
NOS-TBI (1 month post-injury) | DRS (3 months post-injury) | Y | Spearman
NOS-TBI (1 month post-injury) | DRS (6 months post-injury) | Y | Spearman
NOS-TBI (1 month post-injury) | DRS (12 months post-injury) | N | Spearman
NOS-TBI (1 month post-injury) | NRS-R (3 months post-injury) | N | Spearman
NOS-TBI (1 month post-injury) | NRS-R (6 months post-injury) | N | Spearman
NOS-TBI (1 month post-injury) | NRS-R (12 months post-injury) | N | Spearman

NOS-TBI (3 months post-injury) | GOS (6 months post-injury) | Y | Spearman
NOS-TBI (3 months post-injury) | GOS (12 months post-injury) | Y | Spearman
NOS-TBI (3 months post-injury) | GOS-E (6 months post-injury) | Y | Spearman
NOS-TBI (3 months post-injury) | GOS-E (12 months post-injury) | Y | Spearman
NOS-TBI (3 months post-injury) | DRS (6 months post-injury) | Y | Spearman
NOS-TBI (3 months post-injury) | DRS (12 months post-injury) | Y | Spearman
NOS-TBI (3 months post-injury) | NRS-R (6 months post-injury) | Y | Spearman
NOS-TBI (3 months post-injury) | NRS-R (12 months post-injury) | Y | Spearman","Correlation (i.e., Pearson, Spearman, Kendall)","",Not all analyses had the same number of  samples due to missing data
8171,Norris 2013,ANAM4 TBI reaction time-based tests have prognostic utility for acute concussion.,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
